,precision,recall,f1-score,support
abort,0.7142857142857143,0.8333333333333334,0.7692307692307693,12.0
danger,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0
help,0.9,0.75,0.8181818181818182,12.0
need_backup,0.6923076923076923,0.75,0.72,12.0
no_gesture,0.6363636363636364,0.5833333333333334,0.6086956521739131,12.0
proceed,0.75,0.5,0.6,12.0
safe,0.47368421052631576,0.75,0.5806451612903226,12.0
stay,0.5,0.25,0.3333333333333333,12.0
watched,0.6,0.75,0.6666666666666666,12.0
accuracy,0.6759259259259259,0.6759259259259259,0.6759259259259259,0.6759259259259259
macro avg,0.6870342133500027,0.675925925925926,0.6681577852826099,108.0
weighted avg,0.6870342133500027,0.6759259259259259,0.66815778528261,108.0
